"DateTime","mod","taxon","value"
2015-05-14,"ZOO","cladoceran",3.0529522046562e-05
2015-05-14,"ZOO","copepod",0.0014452925997782
2015-05-14,"ZOO","total",0.00147582212182476
2016-04-20,"ZOO","cladoceran",0.00139026609253892
2016-04-20,"ZOO","copepod",0.00406685105103902
2016-04-20,"ZOO","total",0.00545711714357794
2015-05-28,"ZOO","cladoceran",0.00378586863539178
2015-05-28,"ZOO","copepod",0.156602810298133
2015-05-28,"ZOO","total",0.160388678933525
2015-06-11,"ZOO","cladoceran",0.072234109182686
2015-06-11,"ZOO","copepod",0.060240191470505
2015-06-11,"ZOO","total",0.132474300653191
2015-06-25,"ZOO","cladoceran",0.0215911154775432
2015-06-25,"ZOO","copepod",0.0605448674562767
2015-06-25,"ZOO","total",0.08213598293382
2015-07-09,"ZOO","cladoceran",0.163355697837215
2015-07-09,"ZOO","copepod",0.318861785095643
2015-07-09,"ZOO","total",0.482217482932857
2015-07-23,"ZOO","cladoceran",0.000866867679368337
2015-07-23,"ZOO","copepod",0.137951882409808
2015-07-23,"ZOO","total",0.138818750089176
2015-07-30,"ZOO","cladoceran",0.0132843356788111
2015-07-30,"ZOO","copepod",0.0625833406319306
2015-07-30,"ZOO","total",0.0758676763107417
2015-08-13,"ZOO","cladoceran",0.0101753463694772
2015-08-13,"ZOO","copepod",0.0621786625464957
2015-08-13,"ZOO","total",0.0723540089159729
2015-09-04,"ZOO","cladoceran",0.0730905562119603
2015-09-04,"ZOO","copepod",0.136830441098934
2015-09-04,"ZOO","total",0.209920997310894
2015-09-18,"ZOO","cladoceran",0.0307955700661661
2015-09-18,"ZOO","copepod",0.185520615664378
2015-09-18,"ZOO","total",0.216316185730544
2015-10-02,"ZOO","cladoceran",0.230608085255278
2015-10-02,"ZOO","copepod",0.162797660156986
2015-10-02,"ZOO","total",0.393405745412263
2015-10-23,"ZOO","cladoceran",0.806901474036388
2015-10-23,"ZOO","copepod",0.391524036748285
2015-10-23,"ZOO","total",1.19842551078467
2016-04-06,"ZOO","cladoceran",0.00552859917696764
2016-04-06,"ZOO","copepod",0.244135958093619
2016-04-06,"ZOO","total",0.249664557270587
2016-05-04,"ZOO","cladoceran",0.0213285796463463
2016-05-04,"ZOO","copepod",0.186976685826409
2016-05-04,"ZOO","total",0.208305265472755
2016-05-19,"ZOO","cladoceran",0.00201719446054988
2016-05-19,"ZOO","copepod",0.161490013677447
2016-05-19,"ZOO","total",0.163507208137997
2016-06-02,"ZOO","cladoceran",0.0123366153051902
2016-06-02,"ZOO","copepod",0.118421344358409
2016-06-02,"ZOO","total",0.130757959663599
2016-06-23,"ZOO","cladoceran",0.170406696387288
2016-06-23,"ZOO","copepod",0.524239971391323
2016-06-23,"ZOO","total",0.694646667778612
2016-07-07,"ZOO","cladoceran",0.0399858357865337
2016-07-07,"ZOO","copepod",0.109534080458079
2016-07-07,"ZOO","total",0.149519916244613
2016-07-21,"ZOO","cladoceran",0.0096093665073195
2016-07-21,"ZOO","copepod",0.153344123721463
2016-07-21,"ZOO","total",0.162953490228782
2016-08-11,"ZOO","cladoceran",0.00760593518809239
2016-08-11,"ZOO","copepod",0.134687110416608
2016-08-11,"ZOO","total",0.1422930456047
2016-08-23,"ZOO","cladoceran",0.0829896276476232
2016-08-23,"ZOO","copepod",0.28028213183518
2016-08-23,"ZOO","total",0.363271759482803
2016-09-06,"ZOO","cladoceran",0.489069842322213
2016-09-06,"ZOO","copepod",0.280810215946053
2016-09-06,"ZOO","total",0.769880058268266
2016-09-27,"ZOO","cladoceran",0.465348787623177
2016-09-27,"ZOO","copepod",0.155337842518519
2016-09-27,"ZOO","total",0.620686630141696
2016-10-25,"ZOO","cladoceran",0.242755847096973
2016-10-25,"ZOO","copepod",0.136623829403151
2016-10-25,"ZOO","total",0.379379676500125
2021-10-26,"ZOO","cladoceran",0.445444603608969
2021-10-26,"ZOO","copepod",0.206348520366939
2021-10-26,"ZOO","rotifer",0.0639512761962611
2021-10-26,"ZOO","total",0.715744400172169
2021-11-09,"ZOO","cladoceran",0.479774074836335
2021-11-09,"ZOO","copepod",0.864248472165946
2021-11-09,"ZOO","rotifer",0.0499060985098943
2021-11-09,"ZOO","total",1.39392864551218
2021-12-06,"ZOO","cladoceran",0.109046422629938
2021-12-06,"ZOO","copepod",0.326534103839741
2021-12-06,"ZOO","rotifer",0.0457220632735697
2021-12-06,"ZOO","total",0.481302589743249
2022-01-26,"ZOO","cladoceran",0.144216470279251
2022-01-26,"ZOO","copepod",0.582584975947107
2022-01-26,"ZOO","rotifer",0.290406343198929
2022-01-26,"ZOO","total",1.01720778942529
2022-04-12,"ZOO","cladoceran",0.0168535134343605
2022-04-12,"ZOO","copepod",0.659670844839524
2022-04-12,"ZOO","rotifer",0.0348828883064769
2022-04-12,"ZOO","total",0.711407246580362
2022-05-02,"ZOO","cladoceran",0.00808651336105765
2022-05-02,"ZOO","copepod",0.833224097142486
2022-05-02,"ZOO","rotifer",0.0594524440844861
2022-05-02,"ZOO","total",0.90076305458803
2019-04-08,"ZOO","cladoceran",0.312685934588796
2019-04-08,"ZOO","copepod",0.128580671187444
2019-04-08,"ZOO","rotifer",0.00749810766838992
2019-04-08,"ZOO","total",0.448764713444629
2019-04-29,"ZOO","cladoceran",0.472576124963631
2019-04-29,"ZOO","copepod",0.35752995962284
2019-04-29,"ZOO","rotifer",0.0256917608276623
2019-04-29,"ZOO","total",0.855797845414133
2019-05-23,"ZOO","cladoceran",0.757026773960489
2019-05-23,"ZOO","copepod",0.306896215623461
2019-05-23,"ZOO","rotifer",0.0126999822610204
2019-05-23,"ZOO","total",1.07662297184497
2019-06-06,"ZOO","cladoceran",0.104606692493286
2019-06-06,"ZOO","copepod",0.106964197793544
2019-06-06,"ZOO","rotifer",0.0746553665025925
2019-06-06,"ZOO","total",0.286226256789422
2019-06-13,"ZOO","cladoceran",0.0976597101918492
2019-06-13,"ZOO","copepod",0.666358524667996
2019-06-13,"ZOO","rotifer",0.0170144426934043
2019-06-13,"ZOO","total",0.781032677553249
2019-06-27,"ZOO","cladoceran",0.152866609429531
2019-06-27,"ZOO","copepod",0.362114778425603
2019-06-27,"ZOO","rotifer",0.28879674860378
2019-06-27,"ZOO","total",0.803778136458913
2019-07-10,"ZOO","cladoceran",0.377257645696483
2019-07-10,"ZOO","copepod",1.28837245613787
2019-07-10,"ZOO","rotifer",0.896179765150864
2019-07-10,"ZOO","total",2.56180986698521
2019-07-11,"ZOO","cladoceran",0.468874997565716
2019-07-11,"ZOO","copepod",0.89593536074453
2019-07-11,"ZOO","rotifer",0.154658443273294
2019-07-11,"ZOO","total",1.51946880158354
2019-07-18,"ZOO","cladoceran",0.137045368248141
2019-07-18,"ZOO","copepod",0.851944132378886
2019-07-18,"ZOO","rotifer",0.181965195694867
2019-07-18,"ZOO","total",1.17095469632189
2019-07-24,"ZOO","cladoceran",0.772467775752441
2019-07-24,"ZOO","rotifer",0.796645330354576
2019-07-25,"ZOO","cladoceran",1.20160017984636
2019-07-25,"ZOO","rotifer",0.606553885796515
2019-08-14,"ZOO","cladoceran",0.883665731602376
2019-08-14,"ZOO","copepod",0.566264834390399
2019-08-14,"ZOO","rotifer",0.173514521668814
2019-08-14,"ZOO","total",1.62344508766159
2019-09-04,"ZOO","cladoceran",0.395907965661136
2019-09-04,"ZOO","copepod",0.234843090654781
2019-09-04,"ZOO","rotifer",0.0771327739504708
2019-09-04,"ZOO","total",0.707883830266388
2019-10-04,"ZOO","cladoceran",0.403136694377396
2019-10-04,"ZOO","copepod",0.3193537373512
2019-10-04,"ZOO","rotifer",0.0452965580863131
2019-10-04,"ZOO","total",0.767786989814909
2019-11-15,"ZOO","cladoceran",0.430255031075295
2019-11-15,"ZOO","copepod",0.230470028241674
2019-11-15,"ZOO","rotifer",0.0299467116272845
2019-11-15,"ZOO","total",0.690671770944254
2020-08-06,"ZOO","cladoceran",0.0198905220917
2020-08-06,"ZOO","copepod",0.0327048823841254
2020-08-06,"ZOO","rotifer",0.0300288335653184
2020-08-06,"ZOO","total",0.0826242380411439
2020-08-12,"ZOO","cladoceran",0.0474795759601009
2020-08-12,"ZOO","copepod",0.070930639393575
2020-08-12,"ZOO","rotifer",0.0280660486570567
2020-08-12,"ZOO","total",0.146476264010733
2020-08-13,"ZOO","cladoceran",0.054586688376606
2020-08-13,"ZOO","copepod",0.0859963621984967
2020-08-13,"ZOO","rotifer",0.0105696813019267
2020-08-13,"ZOO","total",0.151152731877029
2020-09-03,"ZOO","cladoceran",0.275085096464199
2020-09-03,"ZOO","copepod",0.515195859425393
2020-09-03,"ZOO","rotifer",0.308976731022329
2020-09-03,"ZOO","total",1.09925768691192
2020-10-01,"ZOO","cladoceran",0.288314759937442
2020-10-01,"ZOO","copepod",0.374153290938273
2020-10-01,"ZOO","rotifer",0.578136573801256
2020-10-01,"ZOO","total",1.24060462467697
2020-11-10,"ZOO","cladoceran",0.0824805092771883
2020-11-10,"ZOO","copepod",0.627989563268085
2020-11-10,"ZOO","rotifer",0.0194149132513744
2020-11-10,"ZOO","total",0.729884985796648
2021-03-08,"ZOO","cladoceran",0.0632449979014278
2021-03-08,"ZOO","copepod",0.0129966027272924
2021-03-08,"ZOO","rotifer",0.0824760305057428
2021-03-08,"ZOO","total",0.158717631134463
2021-04-05,"ZOO","cladoceran",0.0412433079853032
2021-04-05,"ZOO","copepod",0.0657958495307505
2021-04-05,"ZOO","rotifer",0.0125090524671844
2021-04-05,"ZOO","total",0.119548209983238
2021-06-15,"ZOO","cladoceran",1.91269897971259
2021-06-15,"ZOO","copepod",2.88994740221346
2021-06-15,"ZOO","rotifer",0.304177403636084
2021-06-15,"ZOO","total",5.10682378556213
2021-06-16,"ZOO","cladoceran",2.14474123849665
2021-06-16,"ZOO","copepod",2.66760087450279
2021-06-16,"ZOO","rotifer",0.0905152554594777
2021-06-16,"ZOO","total",4.90285736845893
2021-06-28,"ZOO","cladoceran",0.189245245374191
2021-06-28,"ZOO","copepod",0.360899402472819
2021-06-28,"ZOO","rotifer",0.0214856599932505
2021-06-28,"ZOO","total",0.571630307840261
2021-07-07,"ZOO","cladoceran",0.634253265144487
2021-07-07,"ZOO","copepod",2.14460286571015
2021-07-07,"ZOO","rotifer",0.160468196505997
2021-07-07,"ZOO","total",2.93932432736063
2021-07-08,"ZOO","cladoceran",0.151211593090986
2021-07-08,"ZOO","copepod",1.74223132862307
2021-07-08,"ZOO","rotifer",0.255215753103635
2021-07-08,"ZOO","total",2.14865867481769
2021-07-26,"ZOO","cladoceran",0.0487924234101208
2021-07-26,"ZOO","copepod",0.891938534864316
2021-07-26,"ZOO","rotifer",0.00606609852058224
2021-07-26,"ZOO","total",0.946797056795019
2021-08-23,"ZOO","cladoceran",0.968802894429258
2021-08-23,"ZOO","copepod",0.77420124149281
2021-08-23,"ZOO","rotifer",0.171376931715711
2021-08-23,"ZOO","total",1.91438106763778
2021-09-21,"ZOO","cladoceran",0.173189140346776
2021-09-21,"ZOO","copepod",0.892749405461366
2021-09-21,"ZOO","rotifer",0.160391701048029
2021-09-21,"ZOO","total",1.22633024685617
2020-05-14,"ZOO","cladoceran",0.356846355337742
2020-05-14,"ZOO","copepod",0.404774689582861
2020-05-14,"ZOO","rotifer",0.0274588346209846
2020-05-14,"ZOO","total",0.789079879541587
2020-06-04,"ZOO","cladoceran",0.263757554672552
2020-06-04,"ZOO","copepod",0.191750236707287
2020-06-04,"ZOO","rotifer",0.00572495850855454
2020-06-04,"ZOO","total",0.461232749888394
2020-12-02,"ZOO","cladoceran",0.529006904050899
2020-12-02,"ZOO","copepod",0.290578904369321
2020-12-02,"ZOO","rotifer",0.117191725241053
2020-12-02,"ZOO","total",0.936777533661273
2020-06-25,"ZOO","cladoceran",0.381219397177981
2020-06-25,"ZOO","copepod",0.569323004408749
2020-06-25,"ZOO","rotifer",0.0257325871280431
2020-06-25,"ZOO","total",0.976274988714772
2020-07-02,"ZOO","cladoceran",0.225601637161083
2020-07-02,"ZOO","copepod",0.468642510791616
2020-07-02,"ZOO","rotifer",0.0296895627036604
2020-07-02,"ZOO","total",0.723933710656359
2021-05-14,"ZOO","copepod",0.598063196821089
2021-05-14,"ZOO","rotifer",0.134458554947094
2021-05-14,"ZOO","total",0.732521751768183
2022-03-22,"ZOO","copepod",0.339103704019844
2022-03-22,"ZOO","rotifer",0.0270100338684163
2022-03-22,"ZOO","total",0.366113737888261
